time;dt;imu_reseted;gps_position_received;initial_heading;gps_x;gps_y;gps_speed;gps_says_robot_moving;moving_motors;om_gauche;om_droit;meca_position_measure_received;meca_fiab;meca_position_x;meca_position_y;meca_velocity_x;visu_position_measure_received;visu_fiab;visu_position_x;visu_position_y;visu_velocity_measure_received;visu_velocity_x;visu_velocity_y;imu_accel_measure_received;accel_mss_x;accel_mss_y;imu_theta_received;imu_theta;imu_yaw_velocity;kalman_position_x;kalman_position_y
1471008671611;0.0;0.0;1;0.0;0.0;0.0;0.081;0;0;0;0;1;1.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0
1471008671631;0.02;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.0;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671641;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671651;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671661;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671671;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671688;0.017;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671696;0.008;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671701;0.005;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671711;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671721;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671731;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671741;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671751;0.01;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671762;0.011;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671771;0.009;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
1471008671785;0.014;0.0;0;0.0;0.0;0.0;0.081;0;0;0;0;0;1.0;0.058904;0.0;0.0001;0;0.0;0.0;0.0;0;0.0001;0.0001;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
