time,dt,meca_position_measure_received,meca_position_x,meca_position_y,visu_position_measure_received,visu_position_x,visu_position_y,visu_velocity_measure_received,visu_velocity_x,visu_velocity_y,imu_accel_measure_received,accel_mss_x,accel_mss_y,imu_theta_measure_received,imu_theta,kalman_position_x,kalman_position_y
1466779694248,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,2.4e-05
1466779694258,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,2.5e-05
1466779694268,0.01,0,-0.058904,0.0,1,-0.0,-0.0,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,2.6e-05
1466779694278,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,2.7e-05
1466779694288,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,2.8e-05
1466779694298,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,2.9e-05
1466779694308,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3e-05
1466779694318,0.01,0,-0.058904,0.0,1,-0.0,-0.0,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.1e-05
1466779694328,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.2e-05
1466779694338,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.3e-05
1466779694348,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.4e-05
1466779694358,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.5e-05
1466779694368,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.6e-05
1466779694378,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.7e-05
1466779694388,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.8e-05
1466779694398,0.01,0,-0.058904,0.0,1,-0.0,-0.0,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,3.9e-05
1466779694408,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.035353,4e-05
1466779694418,0.01,1,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1e-06
1466779694428,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2e-06
1466779694438,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3e-06
1466779694449,0.011,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4e-06
1466779694459,0.01,0,-0.058904,0.0,1,-0.0,-0.0,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,5e-06
1466779694468,0.009,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,6e-06
1466779694478,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,7e-06
1466779694488,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,8e-06
1466779694498,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,9e-06
1466779694508,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1e-05
1466779694518,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.1e-05
1466779694528,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.2e-05
1466779694538,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.3e-05
1466779694550,0.012,0,-0.058904,0.0,1,-0.0,-0.0,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.4e-05
1466779694559,0.009,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.5e-05
1466779694573,0.014,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.6e-05
1466779694579,0.006,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.7e-05
1466779694588,0.009,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.8e-05
1466779694598,0.01,0,-0.058904,0.0,0,-0.0,-0.0,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,1.9e-05
1466779694608,0.01,0,-0.058904,0.0,1,0.00171,0.000638,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2e-05
1466779694618,0.01,0,-0.058904,0.0,0,0.00171,0.000638,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.1e-05
1466779694628,0.01,0,-0.058904,0.0,0,0.00171,0.000638,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.2e-05
1466779694638,0.01,0,-0.058904,0.0,0,0.00171,0.000638,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.3e-05
1466779694648,0.01,0,-0.058904,0.0,0,0.00171,0.000638,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.4e-05
1466779694658,0.01,0,-0.058904,0.0,0,0.00171,0.000638,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.5e-05
1466779694668,0.01,0,-0.058904,0.0,0,0.00171,0.000638,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.6e-05
1466779694678,0.01,0,-0.058904,0.0,0,0.00171,0.000638,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.7e-05
1466779694688,0.01,0,-0.058904,0.0,1,-0.013204,-0.002687,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.8e-05
1466779694698,0.01,0,-0.058904,0.0,0,-0.013204,-0.002687,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,2.9e-05
1466779694708,0.01,0,-0.058904,0.0,0,-0.013204,-0.002687,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3e-05
1466779694718,0.01,0,-0.058904,0.0,0,-0.013204,-0.002687,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.1e-05
1466779694728,0.01,0,-0.058904,0.0,0,-0.013204,-0.002687,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.2e-05
1466779694738,0.01,0,-0.058904,0.0,1,-0.007194,-0.000167,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.3e-05
1466779694748,0.01,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.4e-05
1466779694759,0.011,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.5e-05
1466779694768,0.009,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.6e-05
1466779694778,0.01,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.7e-05
1466779694788,0.01,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.8e-05
1466779694798,0.01,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,3.9e-05
1466779694808,0.01,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4e-05
1466779694818,0.01,0,-0.058904,0.0,0,-0.007194,-0.000167,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.1e-05
1466779694828,0.01,0,-0.058904,0.0,1,-0.003416,-0.002771,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.2e-05
1466779694839,0.011,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.3e-05
1466779694849,0.01,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.4e-05
1466779694860,0.011,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.5e-05
1466779694872,0.012,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.6e-05
1466779694880,0.008,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.7e-05
1466779694888,0.008,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.8e-05
1466779694899,0.011,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,4.9e-05
1466779694908,0.009,0,-0.058904,0.0,0,-0.003416,-0.002771,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,5e-05
1466779694918,0.01,0,-0.058904,0.0,1,-0.003979,-0.002568,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058456,5.1e-05
1466779694928,0.01,1,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1e-06
1466779694938,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2e-06
1466779694948,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,3e-06
1466779694958,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,4e-06
1466779694968,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,5e-06
1466779694978,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,6e-06
1466779694988,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,7e-06
1466779694998,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,8e-06
1466779695008,0.01,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,9e-06
1466779695022,0.014,0,-0.058904,0.0,0,-0.003979,-0.002568,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.1e-05
1466779695028,0.006,0,-0.058904,0.0,1,-0.00333,-0.002135,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.1e-05
1466779695038,0.01,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.2e-05
1466779695048,0.01,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.3e-05
1466779695058,0.01,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.4e-05
1466779695068,0.01,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.5e-05
1466779695079,0.011,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.6e-05
1466779695088,0.009,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.7e-05
1466779695098,0.01,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.8e-05
1466779695108,0.01,0,-0.058904,0.0,0,-0.00333,-0.002135,0,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,1.9e-05
1466779695118,0.01,0,-0.058904,0.0,1,-0.003944,-0.002473,1,0.0001,0.0001,1,0.0001,0.0001,1,0.0,-0.058896,2e-05
